SIGN_REPLACE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Max jaccard % Loss cyl,7.809589819106471,7.809589819106471,-0.10138021028370803,-1.0118774635287264,-2.0475812081305333,-3.0293927207864613,-4.426511743575457,-5.434984543844445,,
Max jaccard % Loss spv,8.497908857109199,8.497908857109199,-0.1002758227605316,-1.0017900981247163,-2.0309843630833657,-3.102135480898849,-4.189013397625191,-,,
Max jaccard % Loss sal,7.2627520508904695,7.2627520508904695,-0.10028440381751325,-1.0435194004343673,-2.119901547718994,-3.1196595766233512,-4.058374043136243,-5.5341287377258075,,
Max jaccard % Loss sq3,4.77911381273119,4.77911381273119,-0.10007233462326903,-1.0027162626330133,-2.0833840491874533,-3.3058700519744963,-4.029354896961623,-5.504801924448721,,
Max jaccard % Loss dar,6.3185382414238545,6.3185382414238545,-0.10022480519961685,-1.011607107230772,-2.0247815704811325,-3.07745568972585,-4.127475645416768,-5.293701762230629,,
,,,,,,,,,,
Min Points Affected,15,15,15,18,22,20,23,41,,
Max Points Affected,3298,3298,3298,3298,1120,1120,750,1120,,
Avg Points Affected,465.43,87.58019246190858,100.73657407407407,159.9646017699115,126.68181818181819,151.89655172413794,198.5,300.3529411764706,,
,,,,,,,,,,
Min Seconds,0.2682125910068862,0.2731225109891966,0.2682125910068862,0.2682125910068862,0.31294741202145815,0.3333549000089988,0.3277162910089828,0.3618489140062593,,
Max Seconds,0.8758017869549803,0.8758017869549803,0.8576493670116179,0.8758017869549803,0.8758017869549803,0.6950867219711654,0.6844499240396544,0.7552512280526571,,
Avg Seconds,2.62621383444668,0.5258514876822139,0.522954056673943,0.5251267401625679,0.53795568042022,0.5029435029257378,0.47841727605264167,0.5934500205262071,,
,,,,,,,,,,
Duplicates,68,,,,,,,,,
Duplicates Percent,3.4000000000000004,,,,,,,,,
,,,,,,,,,,
Time,00:35:21,,,,,,,,,
,,,,,,,,,,
