ADD_MIRROR_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Max jaccard % Loss cyl,5.699289303249177,5.699289303249177,-0.10017175986278826,-1.0032429029294743,-2.004229745484598,-3.0387658025009423,-4.054284528334606,-5.018597430525013,,
Max jaccard % Loss spv,5.079129018144634,5.079129018144634,-0.10022587143581063,-1.0264625846577835,-2.0119498830402813,-3.0411160468821974,-4.0471872590243985,-5.059836435619502,,
Max jaccard % Loss sal,4.911570521557334,4.911570521557334,-0.10089108636581745,-1.000896937739415,-2.022590695624815,-3.0254508427377647,-4.006471645051302,-5.01605522369204,,
Max jaccard % Loss sq3,5.286746148105159,5.286746148105159,-0.10085496809380534,-1.0006633021962308,-2.030263968338597,-3.001334167420011,-4.068480401423696,-5.031577267084931,,
Max jaccard % Loss dar,5.10192999248228,5.10192999248228,-0.10027076917376032,-1.0013396225432958,-2.014991971541158,-3.039267189703787,-4.003061999482899,-5.066063776598906,,
,,,,,,,,,,
Min Points Affected,25,25,31,25,31,41,33,33,,
Max Points Affected,56655,56655,56655,50045,32402,56655,50045,49276,,
Avg Points Affected,16308.5,2278.9509566747306,3886.4897043294613,5174.815450643777,3770.6187050359713,4393.477157360406,3464.9068322981366,4375.133333333333,,
,,,,,,,,,,
Min Seconds,0.30190249503357336,0.30190249503357336,0.3240041389944963,0.3240041389944963,0.33691148698562756,0.35995423700660467,0.3240041389944963,0.3240041389944963,,
Max Seconds,186.67724167503184,186.67724167503184,186.67724167503184,88.84129154501716,55.27496822102694,72.96568354300689,7.304327721009031,8.879089939990081,,
Avg Seconds,11.584553909565875,1.983348643229095,2.7624389925995168,2.7535303532123767,2.0978087283819145,2.250226481255678,1.3773268244011612,1.5568177438803215,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:24:51,,,,,,,,,
,,,,,,,,,,
