ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Max accuracy % Loss cyl,3.427848144863399,3.427848144863399,-0.1006642188209117,-1.0238964903335757,-2.208163165088428,-3.0236417889365597,-4.136273488184483,-5.122832928326715,,
Max accuracy % Loss spv,1.7256233092682205,1.7256233092682205,-0.10000086207639924,-1.0139807775320864,-2.029294415036509,-3.0630003480682233,-4.0272346883925785,-6.135938827527609,,
Max accuracy % Loss sal,3.6739889298181394,3.6739889298181394,-0.10113823368075314,-1.0057735268802603,-2.068178197844217,-3.3200024829078467,-4.127394915890969,-5.192789574536338,,
Max accuracy % Loss sq3,1.5149662027184596,1.5149662027184596,-0.10039022652568175,-1.001764471512323,-2.0303853348883405,-3.0674478593853194,-,-5.8741965027004355,,
Max accuracy % Loss dar,2.674398339591555,2.674398339591555,-0.10026506857208073,-1.002629583622372,-2.0336789829856428,-3.0766990997986077,-,-5.220578254377628,,
,,,,,,,,,,
Min Points Affected,24,24,44,189,392,2940,4480,4953,,
Max Points Affected,43655,40853,37107,43655,40853,43655,40853,43655,,
Avg Points Affected,16924.605,1859.4562849573153,5891.777158774374,11997.128514056225,12325.021276595744,14670.642857142857,18179.909090909092,24842.384615384617,,
,,,,,,,,,,
Min Seconds,0.310622641001828,0.310622641001828,0.32120301300892606,0.48911336599849164,0.5435164469527081,1.634727519005537,2.8108621899737045,3.298511652974412,,
Max Seconds,142.1191070540226,142.1191070540226,142.1191070540226,124.2448899979936,132.35400355403544,5.299565788009204,5.299565788009204,5.221677118039224,,
Avg Seconds,11.852925766035478,1.6062567902083165,3.720642199047098,6.631781209492354,6.54654572703727,3.7173143515704266,4.03901793636297,3.9835180904662524,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:26:27,,,,,,,,,
,,,,,,,,,,
