ADD_ROTATE,All,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4,bucket_5,bucket_6,,
Max jaccard % Loss cyl,5.1079084252286355,5.1079084252286355,-0.10014719515166748,-1.0040731223629251,-2.073922721050059,-3.1505468516503434,-4.149621645835799,-5.0076071363163335,,
Max jaccard % Loss spv,5.349509838027328,5.349509838027328,-0.10006591731153147,-1.015844140342187,-2.0170223073060543,-3.006971838101913,-4.049258491477375,-5.000019922865312,,
Max jaccard % Loss sal,4.513234100690411,4.513234100690411,-0.10042765774265772,-1.0017617047311356,-2.0067924988808494,-3.034567210619504,-4.004510087503654,-5.003403703075699,,
Max jaccard % Loss sq3,4.830818150195826,4.830818150195826,-0.10062155413990137,-1.0087598157214661,-2.0099530902978726,-3.0471154180581106,-4.005675996159752,-5.016826039304473,,
Max jaccard % Loss dar,5.284240080391667,5.284240080391667,-0.10012531093033239,-1.0010881238983416,-2.0257658535203173,-3.012432580671842,-4.012782873061344,-5.017682502191883,,
,,,,,,,,,,
Min Points Affected,24,24,24,24,24,24,26,24,,
Max Points Affected,43655,40853,37107,40853,43655,37107,40853,43655,,
Avg Points Affected,16924.605,2434.02413568167,4078.950286309214,5104.128571428571,4942.236641221374,4062.4342857142856,3212.827338129496,3387.070671378092,,
,,,,,,,,,,
Min Seconds,0.310622641001828,0.32023896399186924,0.310622641001828,0.3566055079572834,0.32657228503376245,0.3751503119710833,0.37263497500680387,0.310622641001828,,
Max Seconds,142.1191070540226,142.1191070540226,142.1191070540226,132.35400355403544,8.192395577032585,19.85850329598179,24.951048990013078,132.35400355403544,,
Avg Seconds,11.852925766035478,1.8916917328118448,2.958517503354954,2.8468844643840567,2.0299391523530113,1.9111261766606809,1.6281761407367248,1.9572800618946855,,
,,,,,,,,,,
Duplicates,0,,,,,,,,,
Duplicates Percent,0.0,,,,,,,,,
,,,,,,,,,,
Time,01:26:27,,,,,,,,,
,,,,,,,,,,
